Nome,IP,Site,Fabricante,Modelo,Função,COMUNIDADE SNMP,Latitude,Longitude,Status Zabbix,VAZIO
NOME ,,LOCAL,CISCO,,,,,,,
,,BAIRRO,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
N M ENGENHARIA BRIP,192.168.138.44,,Mikrotik,RouterOS RB941-2nD,Cliente Corporativo ,public,,,Ativo,
Nilo Thavar,138.97.12.186,,Tp-link,Roteador Wireless Tp-link,Cliente Corporativo ,public,,,Ativo,
NetGames,138.97.13.115,,Mikrotik,RouterOS RB1100AHx2,Cliente Corporativo ,public,,,Ativo,
Nalin Sapataria BRIP,192.168.137.10,,Mikrotik,RouterOS RB941-2nD,Cliente Corporativo ,public,,,Ativo,
Nalin Roupas BRIP,192.168.137.14,,Mikrotik,RouterOS RB941-2nD,Cliente Corporativo ,public,,,Ativo,
Nalin Miguel Couto BRIP,192.168.137.34,,Mikrotik,RouterOS RB941-2nD,Cliente Corporativo ,public,,,Ativo,
Nalin 4 Primavera BRIP,"192,168,136,242",,Mikrotik,RouterOS RB941-2nD,Cliente Corporativo ,public,,,Ativo,
MK SOLUTIONS,138.97.13.134,,Dell,Servidor,Aplicação,public,,,Ativo,
Mineração Carneiro BRIP1753,192.168.135.46,,Mikrotik,RouterOS RB2011iL,Cliente Corporativo ,public,,,Ativo,
Mendes dos Santos BRIP3809,"192,168,136,146",,Mikrotik,RouterOS RB750r2,Cliente Corporativo ,public,,,Ativo,
Medicamentos Furuta BRIP,"192,168,135,194",,Mikrotik,RouterOS RB750r2,Cliente Corporativo ,public,,,Ativo,
Logfrio BRIP2787,192.168.135.10,,Mikrotik,RouterOS RB750,Cliente Corporativo ,public,,,Ativo,
Lideroll BRIP1920,192.168.135.82,,Mikrotik,RouterOS RB750,Cliente Corporativo ,public,,,Ativo,
LHM dos Santos BRIP,138.97.13.75,,Mikrotik,RouterOS RB750r2,Cliente Corporativo ,public,,,Ativo,
Laminação BRIP2462,192.168.135.42,,Mikrotik,RouterOS RB750r2,Cliente Corporativo ,public,,,Ativo,
Datacom,"192,168,137,132",,Ubiquiti AirMax,Ubiquiti AirMax,Cliente Corporativo ,public,,,Ativo,
Kibarato Vila de Cava Redundancia BRCCH,45.169.240.58,,Mikrotik,RouterOS RB750Gr3,Cliente Corporativo ,public,,,Ativo,
Kibarato Vila de Cava Principal BRCCH,"192,168,136,126",,Mikrotik,RouterOS RB750Gr3,Cliente Corporativo ,public,,,Ativo,
Kibarato Posse BRCCH,138.97.15.90,,Mikrotik,RouterOS RB750r2,Cliente Corporativo ,public,,,Ativo,
Kibarato Nova Iguaçu BRCCH,138.97.12.82,,Mikrotik,RouterOS RB941-2nD,Cliente Corporativo ,public,,,Ativo,
Kibarato Matriz BRIP,"192,168,135,162",,Mikrotik,RouterOS RB750GL,Cliente Corporativo ,public,,,Ativo,
Kibarato Heliopolis BRCCH,"192,168,135,126",,Mikrotik,RouterOS RB750r2,Cliente Corporativo ,public,,,Ativo,
Kibarato Figueira BRCCH,"192,168,135,154",,Mikrotik,RouterOS RB750Gr3,Cliente Corporativo ,public,,,Ativo,
IPIRANGA BRIP,192.168.138.74,,Mikrotik,RouterOS RB1100AHx2,Cliente Corporativo ,public,,,Ativo,
HOSP.ADAO PEREIRA BRIP,192.168.138.14,,Mikrotik,RouterOS RB750Gr3,Cliente Corporativo ,public,,,Ativo,
Hashimoto Engenharia BRIP,192.168.136.42,,Mikrotik,RouterOS RB750GL,Cliente Corporativo ,public,,,Ativo,
Gypcenter São João BRIP,192.168.136.58,,Mikrotik,RouterOS RB941-2nD,Cliente Corporativo ,public,,,Ativo,
Gypcenter Ramos BRIP,192.168.136.54,,Mikrotik,RouterOS RB750r2,Cliente Corporativo ,public,,,Ativo,
Gypcenter Primavera BRIP,192.168.137.78,,Mikrotik,RouterOS RB941-2nD,Cliente Corporativo ,public,,,Ativo,
GSM_PHONE2B,192.168.0.111,,Mikrotik,,,public,,,Ativo,
GRAFANA,192.168.136.10,,Mikrotik,,,public,,,Ativo,
GLZ BRIP,138.97.13.98,,Mikrotik,,,public,,,Ativo,
GLP GAS BRIP,"192,168,136,253",,Mikrotik,RouterOS RB941-2nD,Cliente Corporativo ,public,,,Ativo,
GLP Amazon 18.214.61.199,18.214.61.199,,Mikrotik,,,public,,,Ativo,
Gateway LNP - Taff,"138,121,196,141",,Mikrotik,RouterOS CCR1036-8G-2S+,,public,,,Ativo,
Gardel BRIP,192.168.138.10,,Mikrotik,RouterOS RB960PGS,Cliente Corporativo ,public,,,Ativo,
Fundec_S.Cruz Movel_BRIP,138.97.15.70,,Tp-link,Roteador Wireless Tp-link,Cliente Corporativo ,public,,,Inativo,
Fundec Zeca Pagodinho BRIP,138.97.14.97,,Tp-link,Roteador Wireless Tp-link,Cliente Corporativo ,public,,,Inativo,
Fundec Tamoio Wesleyana BRIP,138.97.14.94,,Tp-link,Roteador Wireless Tp-link,Cliente Corporativo ,public,,,Inativo,
Fundec Tamoio BRIP,138.97.14.82,,Tp-link,Roteador Wireless Tp-link,Cliente Corporativo ,public,,,Inativo,
Fundec Sede BRIP,138.97.15.154,,Tp-link,Roteador Wireless Tp-link,Cliente Corporativo ,public,,,Inativo,
Fundec Primavera BRIP,138.97.15.38,,Tp-link,Roteador Wireless Tp-link,Cliente Corporativo ,public,,,Inativo,
Fundec Polo Social BRIP,138.97.15.102,,Tp-link,Roteador Wireless Tp-link,Cliente Corporativo ,public,,,Inativo,
Fundec Pilar BRIP,138.97.14.110,,Tp-link,Roteador Wireless Tp-link,Cliente Corporativo ,public,,,Inativo,
Fundec Pedro Ramos BRIP,138.97.14.106,,Tp-link,Roteador Wireless Tp-link,Cliente Corporativo ,public,,,Inativo,
Fundec Movel 2 Pantanal BRIP,138.97.14.102,,Tp-link,Roteador Wireless Tp-link,Cliente Corporativo ,public,,,Inativo,
Fundec Laureano BRIP,138.97.15.6,,Tp-link,Roteador Wireless Tp-link,Cliente Corporativo ,public,,,Inativo,
